route_id,title,lat_max,lat_min,long_max,long_min
105,105 Campus Connector,39.0030898,38.978183,-76.9374809,-76.94677
108,108 Adelphi,39.01658,38.9846897,-76.9373,-76.9804472
109,109 River Road,38.976066,38.9682907,-76.922991,-76.9301382
110,Seven Springs Express,39.0178782,38.98952,-76.9376829,-76.94075
111,111 Silver Spring,39.0016406,38.9834699,-76.94075,-77.029742
113,113 Hyattsville,38.991756,38.95166,-76.9397604,-76.9555421
114,114 University View,38.99234,38.9809619,-76.9338999,-76.9467699
115,115 Orange,38.99297,38.9824312,-76.9370967,-76.9494
116,116 Purple,39.0030848,38.9824312,-76.9370967,-76.94539
117,117 Blue,38.9923399,38.9824311,-76.9298057,-76.94539
118,118 Gold,38.9936749,38.9782048,-76.9372506,-76.95824
122,122 Green,38.9929705,38.9796165,-76.93131,-76.9493998
123,123 Discovery District,38.989794,38.9691629,-76.923247,-76.94075
124,Shady Grove,39.0934528,38.98756,-76.9432066,-77.2018299
126,126 New Carrolton,38.98756,38.950275,-76.8682799,-76.94677
127,127 Mazza GrandMarc,39.0161019,38.9878607,-76.9213841,-76.94075
128,128 The Enclave,38.99782,38.9872099,-76.93182,-76.9500943
131,131 MGM/Enclave,39.0161019,38.9824312,-76.9213841,-76.94539
132,132 The Varsity,38.9908161,38.9809619,-76.9298057,-76.94677
133,133 Grocery Shopping Shuttle,38.9930112,38.9657284,-76.937862,-76.95417
140,140 UMB Law,39.2897837,38.9874519,-76.6223289,-76.9440396
141,141 Gaithersburg Park & Ride,39.1411079,38.98756,-76.9432066,-77.211631
142,142 Columbia Park & Ride,39.174232,38.98952,-76.8494732,-76.94075
143,143 Greenbelt,39.0113699,38.9872099,-76.864278,-76.9502191
bse,Bowie State - Enclave Express,39.0176137,38.99782,-76.7613399,-76.93197
